NAME,VARLABEL
ST121Q01NA,<NAME 1> is motivated? Gives up easily when confronted with a problem and is often not prepared
ST121Q02NA,<NAME 2> is motivated? Mostly remains interested in the tasks she starts and sometimes does more than expected
ST121Q03NA,<NAME 3> is motivated? Wants to get top grades at school and continues working on tasks until perfect.
ST082Q01NA,To what extent do you disagree or agree about yourself? I prefer working as part of a team to working alone.
ST082Q02NA,To what extent do you disagree or agree about yourself? I am a good listener.
ST082Q03NA,To what extent do you disagree or agree about yourself? I enjoy seeing my classmates be successful.
ST082Q08NA,To what extent do you disagree or agree about yourself? I take into account what others are interested in.
ST082Q09NA,To what extent do you disagree or agree about yourself? I find that teams make better decisions than individuals.
ST082Q12NA,To what extent do you disagree or agree about yourself? I enjoy considering different perspectives.
ST082Q13NA,To what extent do you disagree or agree about yourself? I find that teamwork raises my own efficiency.
ST082Q14NA,To what extent do you disagree or agree about yourself? I enjoy cooperating with peers.
ST034Q01TA,I feel like an outsider (or left out of things) at school.
ST034Q02TA,I make friends easily at school.
ST034Q03TA,I feel like I belong at school.
ST034Q04TA,I feel awkward and out of place in my school.
ST034Q05TA,Other students seem to like me.
ST034Q06TA,I feel lonely at school.
ST039Q01NA,Teachers called on me less often than they called on other students.
ST039Q02NA,Teachers graded me harder than they graded other students.
ST039Q03NA,Teachers gave me the impression that they think I am less smart than I really am.
ST039Q04NA,Teachers disciplined me more harshly than other students.
ST039Q05NA,Teachers ridiculed me in front of others.
ST039Q06NA,Teachers said something insulting to me in front of others.
ST059Q01TA,Number of <class periods> required per week in <test language>
ST059Q02TA,Number of <class periods> required per week in mathematics
ST059Q03TA,Number of <class periods> required per week in <science>
ST060Q01NA,"In a normal, full week at school, how many <class periods> are you required to attend in total?"
ST061Q01NA,"How many minutes, on average, are there in a <class period>?"
ST062Q01TA,"In the last two full weeks of school, how often: I <skipped> a whole school day"
ST062Q02TA,"In the last two full weeks of school, how often: I <skipped> some classes"
ST062Q03TA,"In the last two full weeks of school, how often: I arrived late for school"
ST071Q01NA,"This school year, approximately how many hours per week do you spend learning in addition? <School Science>"
ST071Q02NA,"This school year, approximately how many hours per week do you spend learning in addition? Mathematics"
ST071Q03NA,"This school year, approximately how many hours per week do you spend learning in addition? <Test language>"
ST071Q04NA,"This school year, approximately how many hours per week do you spend learning in addition? <Foreign language>"
ST071Q05NA,"This school year, approximately how many hours per week do you spend learning in addition? Other"
ST031Q01NA,"On avg, how many days do you attend physical education classes each week?"
ST032Q01NA,Moderate physical activities for a total of at least 60 minutes per day
ST032Q02NA,Vigorous physical activities for at least 20 minutes per day that made you sweat and breathe hard
ST063Q01NA,Which <school science> course did you attend? Physics: This year
ST063Q01NB,Which <school science> course did you attend? Physics: Last year
ST063Q02NA,Which <school science> course did you attend? Chemistry: This year
ST063Q02NB,Which <school science> course did you attend? Chemistry: Last year
ST063Q03NA,Which <school science> course did you attend? Biology: This year
ST063Q03NB,Which <school science> course did you attend? Biology: Last year
ST063Q04NA,Which <school science> course did you attend? <Earth and space>: This year
ST063Q04NB,Which <school science> course did you attend? <Earth and space>: Last year
ST063Q05NA,Which <school science> course did you attend? Applied sciences and technology: This year
ST063Q05NB,Which <school science> course did you attend? Applied sciences and technology: Last year
ST063Q06NA,"Which <school science> course did you attend? <General, integrated, or comprehen science> course: This year"
ST063Q06NB,"Which <school science> course did you attend? <General, integrated, or comprehen science> course: Last year"
ST064Q01NA,<school science> courses? I can choose the <school science> course(s) I study.
ST064Q02NA,<school science> courses? I can choose the level of difficulty.
ST064Q03NA,<school science> courses? I can choose the number of <school science> courses or <class periods>.
ST097Q01TA,How often does this happen in your <school science> lessons? Students don't listen to what the teacher says.
ST097Q02TA,How often does this happen in your <school science> lessons? There is noise and disorder.
ST097Q03TA,How often does this happen in your <school science> lessons? The teacher waits long for students to quiet down.
ST097Q04TA,How often does this happen in your <school science> lessons? Students cannot work well.
ST097Q05TA,How often does this happen in your <school science> lessons? Students don't start working for a long time after.
ST098Q01TA,When learning <school science>? Students are given opportunities to explain their ideas.
ST098Q02TA,When learning <school science>? Students spend time in the laboratory doing practical experiments.
ST098Q03NA,When learning <school science>? Students are required to argue about science questions.
ST098Q05TA,When learning <school science>? Students are asked to draw conclusions from an experiment they have conducted.
ST098Q06TA,When learning <school science>? The teacher explains <school science> idea can be applied
ST098Q07TA,When learning <school science>? Students are allowed to design their own experiments.
ST098Q08NA,When learning <school science>? There is a class debate about investigations.
ST098Q09TA,When learning <school science>? The teacher clearly explains relevance 聽<broad science> concepts to our lives.
ST098Q10NA,When learning <school science>? Students are asked to do an investigation to test ideas.
ST100Q01TA,How often does this happen in your <school science> lessons? The teacher shows 聽interest every students learning.
ST100Q02TA,How often does this happen in your <school science> lessons? The teacher gives extra help.
ST100Q03TA,How often does this happen in your <school science> lessons? The teacher helps students with their learning.
ST100Q04TA,How often does this happen in your <school science>? The teacher continues teaching\students understand.
ST100Q05TA,How often does this happen in your <school science>? Teacher gives an opportunity to express opinions.
ST103Q01NA,How often does this happen in <school science>? The teacher explains scientific ideas.
ST103Q03NA,How often does this happen in <school science>? A whole class discussion takes place with the teacher.
ST103Q08NA,How often does this happen in <school science>? The teacher discusses our questions.
ST103Q11NA,How often does this happen in <school science>? The teacher demonstrates an idea.
ST104Q01NA,How often does this happen in <school science>? The teacher tells me how I am performing in this course.
ST104Q02NA,How often does this happen in <school science>? The teacher gives me feedback on my strengths <school science> subjec
ST104Q03NA,How often does this happen in <school science>? The teacher tells me in which areas I can still improve.
ST104Q04NA,How often does this happen in <school science>? The teacher tells me how I can improve my performance.
ST104Q05NA,How often does this happen in <school science>? The teacher advises me on how to reach my learning goals.
ST107Q01NA,How often does this happen in <school science>? The teacher adapts the lesson to my class needs and knowledge.
ST107Q02NA,How often does this happen in <school science>? The teacher provides individual help when a student has difficulties
ST107Q03NA,How often does this happen in <school science>? The teacher changes the structure of the lesson on a topic
ST092Q01TA,How informed are you about this environmental issue? The increase of greenhouse gases in the atmosphere
ST092Q02TA,How informed are you about this environmental issue? The use of genetically modified organisms (<GMO>)
ST092Q04TA,How informed are you about this environmental issue? Nuclear waste
ST092Q05TA,How informed are you about this environmental issue? The consequences of clearing forests\other land use
ST092Q06NA,How informed are you about this environmental issue? Air pollution
ST092Q08NA,How informed are you about this environmental issue? Extinction of plants and animals
ST092Q09NA,How informed are you about this environmental issue? Water shortage
ST093Q01TA,This issue will improve or get worse over next 20 years? Air pollution (student)
ST093Q03TA,This issue will improve or get worse over next 20 years? Extinction of plants and animals (student)
ST093Q04TA,This issue will improve or get worse over next 20 years? Clearing of forests for other land use (student)
ST093Q05TA,This issue will improve or get worse over next 20 years? Water shortages (student)
ST093Q06TA,This issue will improve or get worse over next 20 years? Nuclear waste (student)
ST093Q07NA,This issue will improve or get worse over next 20 years? The increase of greenhouse gases in the atmosphere
ST093Q08NA,This issue will improve or get worse over next 20 years? The use of genetically modified organisms (<GMO>)
ST094Q01NA,Disagree or agree with the statements? I have fun when I am learning <broad science>
ST094Q02NA,Disagree or agree with the statements? I like reading about <broad science> topics.
ST094Q03NA,Disagree or agree with the statements? I am happy working on <broad science> topics.
ST094Q04NA,Disagree or agree with the statements? I enjoy acquiring new knowledge in <broad science>.
ST094Q05NA,Disagree or agree with the statements? I am interested in learning about <broad science>.
ST095Q04NA,"To what extent are you interested in: Biosphere (e.g. ecosystem services, sustainability)"
ST095Q07NA,"To what extent are you interested in: Motion and forces (e.g. velocity, friction, magnetic and gravi forces)"
ST095Q08NA,"To what extent are you interested in: Energy and its transformation (e.g. conservation, chemical reactions)"
ST095Q13NA,To what extent are you interested in: <broad science> topics? The Universe and its history
ST095Q15NA,To what extent are you interested in: <broad science> topics? How science can help us prevent disease
ST113Q01TA,Making an effort in my <school science> subject(s) is worth it because this will help me in the work I want to do lat
ST113Q02TA,What I learn in my <school science> subject(s) is important for me because I need this for what I want to do later on
ST113Q03TA,Studying my <school science> subject(s) is worthwhile for me because what I learn will improve my career prospects.
ST113Q04TA,Many things I learn in my <school science> subject(s) will help me to get a job.
ST129Q01TA,Recognise the science question that underlies a newspaper report on a health issue.
ST129Q02TA,Explain why earthquakes occur more frequently in some areas than in others.
ST129Q03TA,Describe the role of antibiotics in the treatment of disease.
ST129Q04TA,Identify the science question associated with the disposal of garbage.
ST129Q05TA,Predict how changes to an environment will affect the survival of certain species.
ST129Q06TA,Interpret the scientific information provided on the labelling of food items.
ST129Q07TA,Discuss how new evidence can lead you to change your understanding about the possibility of life on Mars.
ST129Q08TA,Identify the better of two explanations for the formation of acid rain.
ST131Q01NA,A good way to know if something is true is to do an experiment.
ST131Q03NA,How much do you disagree or agree with the statements below? Ideas in <broad science> sometimes change.
ST131Q04NA,Good answers are based on evidence from many different experiments.
ST131Q06NA,It is good to try experiments more than once to make sure of your findings.
ST131Q08NA,Sometimes <broad science> scientists change their minds about what is true
ST131Q11NA,The ideas in <broad science> science books sometimes change.
ST146Q01TA,How often do you do these things? Watch TV programmes about <broad science>
ST146Q02TA,How often do you do these things? Borrow or buy books on <broad science> topics
ST146Q03TA,How often do you do these things? Visit web sites about <broad science> topics
ST146Q04TA,How often do you do these things? Read <broad science> magazines or science articles in newspapers
ST146Q05TA,How often do you do these things? Attend a <science club>
ST146Q06NA,How often do you do these things? Simulate natural phenomena in computer programs\virtual labs
ST146Q07NA,How often do you do these things? Simulate technical processes in computer programs\virtual labs
ST146Q08NA,How often do you do these things? Visit web sites of ecology organisations
ST146Q09NA,How often do you do these things? Follow news via blogs and microblogging
ST076Q01NA,Before going to school did you: Eat breakfast
ST076Q02NA,Before going to school did you: Study for school or homework
ST076Q03NA,Before going to school did you: Watch TV\<DVD>\Video
ST076Q04NA,Before going to school did you: Read a book\newspaper\magazine
ST076Q05NA,"Before going to school did you: Internet\Chat\Social networks (e.g. <Facebook>, <country-specific social network>)"
ST076Q06NA,Before going to school did you: Play video-games
ST076Q07NA,Before going to school did you: Meet friends or talk to friends on the phone
ST076Q08NA,Before going to school did you: Talk to your parents
ST076Q09NA,Before going to school did you: Work in the household or take care
ST076Q10NA,Before going to school did you: Work for pay
ST076Q11NA,Before going to school did you: Exercise or practice a sport
ST078Q01NA,After leaving school did you: Eat dinner
ST078Q02NA,After leaving school did you: Study\school\hmk
ST078Q03NA,After leaving school did you: Watch TV\<DVD>\Video
ST078Q04NA,After leaving school did you: Read a book\newspaper\magazine
ST078Q05NA,After leaving school did you: Internet\Chat\Social net (e.g. <Facebook>)
ST078Q06NA,After leaving school did you: Play video-games
ST078Q07NA,After leaving school did you: Meet friends or talk to friends on the phone
ST078Q08NA,After leaving school did you: Talk to your parents
ST078Q09NA,After leaving school did you: Work in the household or take care of other family members
ST078Q10NA,After leaving school did you: Work for pay
ST078Q11NA,After leaving school did you: Exercise or practice a sport
ST065Class,Student coded science class (from ST065Q01NA)
IC001Q01TA,Available for you to use at home: Desktop computer
IC001Q02TA,"Available for you to use at home: Portable laptop, or notebook"
IC001Q03TA,"Available for you to use at home: <Tablet computer> (e.g. <iPad庐>, <BlackBerry庐 PlayBook>)"
IC001Q04TA,Available for you to use at home: Internet connection
IC001Q05TA,"Available for you to use at home: <Video games console>, e.g. <Sony庐 PlayStation庐>"
IC001Q06TA,Available for you to use at home: <Cell phone> (without Internet access)
IC001Q07TA,Available for you to use at home: <Cell phone> (with Internet access)
IC001Q08TA,"Available for you to use at home: Portable music player (Mp3\Mp4 player, iPod庐 or similar)"
IC001Q09TA,Available for you to use at home: Printer
IC001Q10TA,Available for you to use at home: USB (memory) stick
IC001Q11TA,"Available for you to use at home: <ebook reader>, e.g. <Amazon庐 Kindle>"
IC009Q01TA,Digitial devices available at school: Desktop computer
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook
IC009Q03TA,"Digitial devices available at school: <Tablet computer> (e.g. <iPad庐>, <BlackBerry庐 PlayBook>)"
IC009Q05NA,Digitial devices available at school: Internet connected school computers
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents"
IC009Q08TA,Digitial devices available at school: USB (memory) stick
IC009Q09TA,"Digitial devices available at school: <ebook reader>, e.g. <Amazon庐 Kindle>"
IC009Q10NA,"Digitial devices available at school: Data projector, e.g. for slide presentations"
IC009Q11NA,"Digitial devices available at school: Interactive Whiteboard, e.g. <Smartboard庐>"
IC002Q01NA,How old were you when you first used a digital device?
IC003Q01TA,How old were you when you first used a computer?
IC004Q01TA,How old were you when you first accessed the Internet?
IC005Q01TA,"During a typical weekday, for how long do you use the Internet at school?"
IC006Q01TA,"During a typical weekday, for how long do you use the Internet outside of school?"
IC007Q01TA,"On a typical weekend day, for how long do you use the Internet outside of school?"
IC008Q01TA,Use digital devices outside school for playing one-player games.
IC008Q02TA,Use digital devices outside school for playing collaborative online games.
IC008Q03TA,Use digital devices outside school for using email.
IC008Q04TA,Use digital devices outside school for <Chatting online> (e.g. <MSN庐>).
IC008Q05TA,"Use digital devices outside school for social networks (e.g. <Facebook>, <MySpace>)."
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville庐>, <The Sims Social>)."
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>)."
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet."
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.
IC010Q01TA,Frequency of use outside of school: Browsing the Internet for schoolwork (e.g. for preparing an essay or presentation
IC010Q02NA,"Frequency of use outside of school: Browsing the Internet to follow up lessons, e.g. for finding explanations."
IC010Q03TA,Frequency of use outside of school: Using email for communication with other students about schoolwork.
IC010Q04TA,Frequency of use outside of school: Using email for communication with teacher\submit of homework or other schoolwork
IC010Q05NA,Frequency of use outside of school: Using Social Networks for communication with other students about schoolwork.
IC010Q06NA,Frequency of use outside of school: Using Social Networks for communication with teachers.
IC010Q07TA,Frequency of use outside of school: Download\upload\browsing from school website (e.g. time table or course materials
IC010Q08TA,"Frequency of use outside of school: Checking the schools website for announcements, e.g. absence of teachers."
IC010Q09NA,Frequency of use outside of school: Doing homework on a computer.
IC010Q10NA,Frequency of use outside of school: Doing homework on a mobile device.
IC010Q11NA,Frequency of use outside of school: Downloading learning apps on a mobile device.
IC010Q12NA,Frequency of use outside of school: Downloading science learning apps on a mobile device.
IC011Q01TA,Frequency of use at school: <Chatting on line> at school.
IC011Q02TA,Frequency of use at school: Using email at school.
IC011Q03TA,Frequency of use at school: Browsing the Internet for schoolwork.
IC011Q04TA,Frequency of use at school: Download\upload\browse schools web (e.g. <intranet>).
IC011Q05TA,Frequency of use at school: Posting my work on the schools website.
IC011Q06TA,Frequency of use at school: Playing simulations at school.
IC011Q07TA,"Frequency of use at school: Practicing and drilling, foreign language learning or math."
IC011Q08TA,Frequency of use at school: Doing homework on a school computer.
IC011Q09TA,Frequency of use at school: Using school computers for group work and communication with other students.
IC013Q01NA,I forget about time when I'm using digital devices.
IC013Q04NA,"The Internet is a great resource for obtaining information I am interested in (e.g. news, sports, dictionary)."
IC013Q05NA,It is very useful to have Social Networks on the Internet.
IC013Q11NA,I am really excited discovering new digital devices or applications.
IC013Q12NA,I really feel bad if no Internet connection is possible.
IC013Q13NA,I like using digital devices.
IC014Q03NA,I feel comfortable using digital devices that I am less familiar with.
IC014Q04NA,"If my friends and relatives want to buy new digital devices or applications, I can give them advice."
IC014Q06NA,I feel comfortable using my digital devices at home.
IC014Q08NA,"When I come across problems with digital devices, I think I can solve them."
IC014Q09NA,"If my friends and relatives have a problem with digital devices, I can help them."
IC015Q02NA,"If I need new software, I install it by myself."
IC015Q03NA,I read information about digital devices to be independent.
IC015Q05NA,I use digital devices as I want to use them.
IC015Q07NA,If I have a problem with digital devices I start to solve it on my own.
IC015Q09NA,"If I need a new application, I choose it by myself."
IC016Q01NA,"To learn something new about digital devices, I like to talk about them with my friends."
IC016Q02NA,I like to exchange solutions to problems with digital devices with others on the Internet.
IC016Q04NA,I like to meet friends and play computer and video games with them.
IC016Q05NA,I like to share information about digital devices with my friends.
IC016Q07NA,I learn a lot about digital media by discussing with my friends and relatives.
EC001Q01NA,Approx how many hrs\week attend add. instruct in the follow. domains? <School science> or <broad science>
EC001Q02NA,Approx how many hrs\week attend add. instruct in the follow. domains? Mathematics
EC001Q03NA,Approx how many hrs\week attend add. instruct in the follow. domains? <Test language>
EC001Q04NA,Approx how many hrs\week attend add. instruct in the follow. domains? <Foreign languages>
EC001Q05NA,Approx how many hrs\week attend add. instruct in the follow. domains? Social sciences
EC001Q06NA,Approx how many hrs\week attend add. instruct in the follow. domains? Music
EC001Q07NA,Approx how many hrs\week attend add. instruct in the follow. domains? Sports
EC001Q08NA,Approx how many hrs\week attend add. instruct in the follow. domains? Performing arts
EC001Q09NA,Approx how many hrs\week attend add. instruct in the follow. domains? Visual arts
EC001Q10NA,Approx how many hrs\week attend add. instruct in the follow. domains? Other
EC003Q01NA,Which <school science> subjects are covered? Physics
EC003Q02NA,Which <school science> subjects are covered? Chemistry
EC003Q03NA,Which <school science> subjects are covered? Biology
EC003Q04NA,Which <school science> subjects are covered? <Earth and space>
EC003Q05NA,Which <school science> subjects are covered? Applied science and technology (e.g. <country-specific example>)
EC003Q06NA,Which <school science> subjects are covered? <General or integrated science> (e.g. <country-specific example>)
EC004Q01NA,Add science inst. cover? Content covered in regular school courses
EC004Q02NA,Add science inst. cover? New or additional content not covered in regular school courses
EC005Q01NA,Sci. instruct. participate? One-on-one tutoring with a person
EC005Q02NA,Sci. instruct. participate? Internet tutoring with a person (including e.g. <Skype>)
EC005Q03NA,Sci. instruct. participate? Internet or computer tutoring with a programme or application
EC005Q04NA,Sci. instruct. participate? Live instruction by a person
EC005Q05NA,Sci. instruct. participate? Video-recorded instruction by a person
EC005Q06NA,Sci. instruct. participate? Small group study or practice (2 to 7 students)
EC005Q07NA,Sci. instruct. participate? Large group study or practice (8 or more students)
EC005Q08NA,Sci. instruct. participate? Other additional science instruction
EC007Q01NA,Where do you attend this additional science instruction? In my regular school building
EC007Q02NA,"Where do you attend this additional science instruction? At some other place, i.e., not in my reg school building"
EC008Q01NA,The teacher is one of my regular teachers in this years school courses. (science)
EC008Q02NA,The teacher regularly teaches students my age in school but is not my teacher in any of my regular courses. (science)
EC008Q03NA,The teacher mainly works for a business or organisation specialised in additional instruction. (science)
EC008Q04NA,The teacher is not specialised teaching personnel (e.g. a student). (science)
EC009Q03NA,Compare your <school science> lessons at school\your add sci inst. My teacher does a lot to help
EC009Q07NA,Compare your <school science> lessons at school\your add sci inst. My teacher is pleased when I
EC009Q10NA,Compare your <school science> lessons at school\your add sci inst. My teacher gives hints
EC009Q12NA,Compare your <school science> lessons at school\your add sci inst. My teacher helps me\find ways
EC009Q13NA,Compare your <school science> lessons at school\your add sci inst. Once we identify why
EC009Q14NA,Compare your <school science> lessons at school\your add sci inst. My teacher adapts the content
EC010Q04NA,Compare <school science> lessons in school\add sci instruct. It takes long time until I have gathered all the materia
EC010Q06NA,Compare <school science> lessons in school\add sci instruct. I talk about things that don't have anything to do with
EC010Q07NA,"Compare <school science> lessons in school\add sci instruct. At the end of a lesson, my teacher summarises learning"
EC010Q08NA,Compare <school science> lessons in school\add sci instruct. My teacher points out the most important aspects\topic.
EC010Q09NA,Compare <school science> lessons in school\add sci instruct. I am often bored.
EC010Q10NA,Compare <school science> lessons in school\add sci instruct. It takes very long until I am ready to get started.
EC010Q11NA,Compare <school science> lessons in school\add sci instruct. I should learn in a cert actvty.
EC010Q12NA,Compare <school science> lessons in school\add sci instruct. My teacher points out the broader context of a learning
EC011Q01NA,Compare <school science> lessons in school\add sci instruct. I get along well with my teachers.
EC011Q02NA,Compare <school science> lessons in school\add sci instruct. My teachers are interested in my well-being.
EC011Q03NA,Compare <school science> lessons in school\add sci instruct. My teachers really listen to what I have to say.
EC011Q04NA,"Compare <school science> lessons in school\add sci instruct. If I need extra help, I will receive it from teachers."
EC011Q05NA,Compare <school science> lessons in school\add sci instruct. My teachers treat me fairly.
EC012Q01NA,Why do you attend additional science instruction in this school year? I want to learn more.
EC012Q02NA,Why do you attend additional science instruction in this school year? I want to prepare for exams.
EC012Q03NA,Why do you attend additional science instruction in this school year? I was attracted by the tutoring advertisement.
EC012Q04NA,Why do you attend additional science instruction in this school year? My parents wanted me to attend.
EC012Q05NA,Why do you attend additional science instruction in this school year? Many of my friends are doing it.
EC012Q06NA,Why do you attend additional science instruction in this school year? My teachers recommend it.
EC012Q07NA,Why do you attend additional science instruction in this school year? I want to improve my grades.
EC012Q08NA,Why do you attend additional science instruction in this school year? I need to improve my grades.
EC012Q09NA,Why do you attend additional science instruction in this school year? It is gratifying to study.
EC012Q10NA,Why do you attend additional science instruction in this school year? It looks good on a r茅sum茅.
EC012Q11NA,Why do you attend additional science instruction in this school year? It is necessary for a job.
EC012Q12NA,Why do you attend additional science instruction in this school year? Other reason.
EC013Q01NA,Why don't you attend additional science in this school year? I don't need any additional science instruction.
EC013Q02NA,Why don't you attend additional science in this school year? None of the available offerings suit my needs.
EC013Q03NA,Why don't you attend additional science in this school year? Not many of my friends are doing it.
EC013Q04NA,Why don't you attend additional science in this school year? I don't have time.
EC013Q05NA,Why don't you attend additional science in this school year? I don't have the money.
EC013Q06NA,Why don't you attend additional science in this school year? My school teachers are knowledgeable enough.
EC013Q07NA,Why don't you attend additional science in this school year? My parents don't want me to do it.
EC013Q08NA,Why don't you attend additional science in this school year? It doesnt seem worth the money.
EC013Q09NA,Why don't you attend additional science in this school year? My teachers say it is not useful.
EC013Q10NA,Why don't you attend additional science in this school year? I have never considered add. science instruction.
EC013Q11NA,Why don't you attend additional science in this school year? Add. science instruction not avail. where I live.
EC013Q12NA,Why don't you attend additional science in this school year? My family helps me instead.
EC013Q13NA,Why don't you attend additional science in this school year? My peers and friends help me instead.
EC014Q01NA,What does additional math cover? Content covered in regular school courses
EC014Q02NA,What does additonal math cover? New or additional content notcovered in regular school courses
EC015Q01NA,Which math instruction do you participate? One-on-one tutoring with a person
EC015Q02NA,Which math instruction do you participate? Internet tutoring with a person (including e.g. <Skype>)
EC015Q03NA,Which math instruction do you participate? Internet or computer tutoring with a programme or application
EC015Q04NA,Which math instruction do you participate? Live instruction by a person
EC015Q05NA,Which math instruction do you participate? Video-recorded instruction by a person
EC015Q06NA,Which math instruction do you participate? Small group study or practice (2 to 7 students)
EC015Q07NA,Which math instruction do you participate? Large group study or practice (8 or more students)
EC015Q08NA,Which math instruction do you participate? Other additional mathematics instruction
EC017Q01NA,Where do you attend this additional mathematics instruction? In my regular school building
EC017Q02NA,"Where do you attend this additional mathematics instruction? At some other place, i.e., not in my regular school"
EC018Q01NA,The teacher is one of my regular teachers in this years school courses. (mathematics)
EC018Q02NA,The teacher regularly teaches students my age in school but is not my teacher in any of my regular school courses. (m
EC018Q03NA,The teacher mainly works for a business or organisation specialised in additional instruction. (mathematics)
EC018Q04NA,The teacher is not specialised teaching personnel (e.g. a student). (mathematics)
EC019Q03NA,My teacher does a lot to help me.
